date,stock_id,open,high,low,close,spread,trading_volume,trading_money,trading_turnover,industry_category,stock_name,type,date_right,rolling_max_20,break_20_day_high,is_20_day_high,short_entry
2023-03-07T00:00:00.000000,2330,521.0,526.0,519.0,524.0,524.0,27650283,14465320023,20595,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-03-08T00:00:00.000000,2330,521.0,523.0,518.0,521.0,521.0,27077587,14091713576,20504,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-03-09T00:00:00.000000,2330,525.0,526.0,522.0,522.0,522.0,25639391,13430582677,16497,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-03-10T00:00:00.000000,2330,515.0,516.0,511.0,513.0,513.0,25572403,13122265260,46216,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-03-13T00:00:00.000000,2330,513.0,518.0,509.0,516.0,516.0,22568740,11608973891,24150,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-03-14T00:00:00.000000,2330,511.0,514.0,510.0,510.0,510.0,26599476,13602260966,24848,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-03-15T00:00:00.000000,2330,515.0,516.0,510.0,511.0,511.0,24080361,12350942139,21075,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-03-16T00:00:00.000000,2330,505.0,510.0,504.0,505.0,505.0,23325664,11809911840,33493,半導體業,台積電,twse,2025-04-14,528.0,0,0,0
2023-03-17T00:00:00.000000,2330,516.0,518.0,513.0,518.0,518.0,35872881,18538033584,21217,半導體業,台積電,twse,2025-04-14,528.0,0,0,0
2023-03-20T00:00:00.000000,2330,517.0,518.0,510.0,512.0,512.0,12752221,6542889562,17709,半導體業,台積電,twse,2025-04-14,524.0,0,0,0
2023-03-21T00:00:00.000000,2330,515.0,517.0,512.0,517.0,517.0,18519120,9534730452,14094,半導體業,台積電,twse,2025-04-14,524.0,0,0,0
2023-03-22T00:00:00.000000,2330,524.0,533.0,524.0,533.0,533.0,45681056,24168561556,56483,半導體業,台積電,twse,2025-04-14,533.0,1,1,0
2023-03-23T00:00:00.000000,2330,528.0,539.0,528.0,538.0,538.0,28614856,15307492846,35313,半導體業,台積電,twse,2025-04-14,538.0,1,1,1
2023-03-24T00:00:00.000000,2330,536.0,539.0,535.0,539.0,539.0,22963771,12348311773,24762,半導體業,台積電,twse,2025-04-14,539.0,1,1,1
2023-03-27T00:00:00.000000,2330,533.0,536.0,531.0,531.0,531.0,17170557,9148085033,17484,半導體業,台積電,twse,2025-04-14,539.0,0,0,1
2023-03-28T00:00:00.000000,2330,525.0,530.0,524.0,525.0,525.0,18327556,9629323504,20744,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-03-29T00:00:00.000000,2330,533.0,533.0,525.0,530.0,530.0,17620195,9329137251,15653,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-03-30T00:00:00.000000,2330,536.0,537.0,531.0,535.0,535.0,20380650,10894446851,18171,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-03-31T00:00:00.000000,2330,538.0,538.0,532.0,533.0,533.0,24324776,12997575231,15962,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-06T00:00:00.000000,2330,530.0,531.0,526.0,530.0,530.0,26706549,14130223516,19144,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-07T00:00:00.000000,2330,535.0,535.0,529.0,531.0,531.0,11114272,5903807797,10285,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-10T00:00:00.000000,2330,533.0,533.0,528.0,529.0,529.0,8203168,4350907176,11698,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-11T00:00:00.000000,2330,522.0,527.0,522.0,524.0,524.0,23087326,12101146147,24432,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-12T00:00:00.000000,2330,523.0,524.0,517.0,520.0,520.0,24772925,12870788209,37158,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-13T00:00:00.000000,2330,515.0,517.0,510.0,510.0,510.0,27501436,14121978133,64834,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-14T00:00:00.000000,2330,516.0,520.0,513.0,516.0,516.0,21174653,10936462759,19962,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-17T00:00:00.000000,2330,519.0,520.0,514.0,520.0,520.0,17895837,9264789087,17444,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-18T00:00:00.000000,2330,518.0,520.0,514.0,515.0,515.0,15687059,8097905529,17087,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-19T00:00:00.000000,2330,517.0,518.0,509.0,510.0,510.0,23209923,11881404238,43281,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-20T00:00:00.000000,2330,512.0,516.0,510.0,513.0,513.0,21002685,10780268259,16627,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-21T00:00:00.000000,2330,520.0,520.0,510.0,511.0,511.0,25440179,13103618008,22738,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-24T00:00:00.000000,2330,505.0,510.0,504.0,507.0,507.0,17579661,8903570323,31635,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-25T00:00:00.000000,2330,504.0,505.0,498.0,498.0,498.0,40916105,20495640143,92009,半導體業,台積電,twse,2025-04-14,539.0,0,0,0
2023-04-26T00:00:00.000000,2330,498.0,498.5,491.0,491.5,491.5,33174539,16353670134,58580,半導體業,台積電,twse,2025-04-14,535.0,0,0,0
2023-04-27T00:00:00.000000,2330,491.0,495.0,489.0,493.5,493.5,34149043,16816693302,47699,半導體業,台積電,twse,2025-04-14,535.0,0,0,0
2023-04-28T00:00:00.000000,2330,498.5,502.0,498.0,502.0,502.0,38812949,19433015577,23746,半導體業,台積電,twse,2025-04-14,535.0,0,0,0
2023-05-02T00:00:00.000000,2330,500.0,502.0,496.5,501.0,501.0,17142380,8572554842,18247,半導體業,台積電,twse,2025-04-14,535.0,0,0,0
